project_code,period,mo,project_name,sector,agency,state,exit_status,effective_cost,f_vel_mean,f_vel_last,f_vel_std,f_burn_mean,f_stall_share,f_stall_run,f_n_snapshots,f_n_doc_changes,f_n_cost_changes,f_n_antic_doc_changes,f_progress,f_fin_progress,f_progress_gap,f_age_mo,f_planned_mo,f_elapsed_share,f_months_past_doc,f_overdue,f_mo_remaining,f_required_vel,f_feasibility,f_is_cost_revised,f_is_sched_revised,f_cost_revision_pct,f_slip_days,f_antic_cost_gap_pct,f_antic_doc_gap_days,f_log_cost,y_cost_esc,y_time_esc,y_adverse
220100257,2024-07,24295,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,,,,,,0,1,0.0,0.0,0.0,50.0,71.65920742127105,21.65920742127105,326.97109067017084,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,0,0
220100257,2024-09,24297,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,0.0,0.0,,7.25,1.0,1,2,0.0,0.0,0.0,50.0,74.01904141915534,24.019041419155343,329.00788436268067,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,0,0
220100257,2024-10,24298,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,0.0,0.0,0.0,4.800000000000011,1.0,2,3,0.0,0.0,0.0,50.0,74.40149727398486,24.40149727398486,329.9934296977661,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,0,0
220100257,2024-12,24300,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,0.0,0.0,0.0,2.8275000000000006,1.0,4,5,0.0,0.0,0.0,50.0,74.67979493856294,24.679794938562935,331.9973718791064,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,1,1
220100257,2025-01,24301,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,0.0,0.0,0.0,2.634000000000003,1.0,5,6,0.0,0.0,0.0,50.0,74.9825046789812,24.9825046789812,333.01576872536134,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,1,1
220100257,2025-03,24303,KHAGARIA-KUSHESHWAR ASTHAN (NL) (ECR),RAILWAYS,ECR,BIHAR,on_roster,614.45,0.08333333333333333,0.5,0.2041241452319315,2.6058333333333366,0.8333333333333334,0,7,0.0,0.0,1.0,51.0,75.78484823826186,24.78484823826186,334.9540078843627,,,,0,,,,1,0,277.264075643151,,0.0,,5.099073430558133,0,0,0
220100265,2024-07,24295,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,,,,,,0,1,0.0,0.0,0.0,0.0,110.09758897818598,110.09758897818598,270.9592641261498,86.95795006570302,3.1159803551190026,184.00131406044676,1,-184.00131406044676,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,0,0,0
220100265,2024-09,24297,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,0.0,0.0,,0.0,1.0,1,2,0.0,0.0,0.0,0.0,110.09758897818598,110.09758897818598,272.99605781865966,86.95795006570302,3.139403097846619,186.03810775295662,1,-186.03810775295662,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,0,0,0
220100265,2024-10,24298,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,0.0,0.0,0.0,0.0,1.0,2,3,0.0,0.0,0.0,0.0,110.09758897818598,110.09758897818598,273.9816031537451,86.95795006570302,3.150736683037401,187.02365308804204,1,-187.02365308804204,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,0,0,0
220100265,2024-12,24300,KOTLPALLI-NARASAPUR (NL) (SCR),RAILWAYS,SCR,ANDHRA PRADESH,on_roster,1045.2,4.5,18.0,9.0,0.0,0.75,0,5,0.0,0.0,0.0,18.0,110.09758897818598,92.09758897818598,275.9855453350854,86.95795006570302,3.1737816395919913,189.02759526938237,1,-189.02759526938237,,,0,0,0.0,0.0,139.28243398392652,6574.0,6.95291983093651,0,0,0
