State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
MAHARASHTRA,ROAD TRANSPORT AND,1001,6L OF KAGAL-SATARA SECTION FROM KM 592.240 TO KM 658.000 OF NH-48 (PKG-I),NHAI,N24001546,1/2023,1/2025,N.A.,1/2025,1025.2,N.A.,1025.2,641.13,37.01
MAHARASHTRA,ROAD TRANSPORT AND,1002,BALANCE WORKS OF 4L PANVEL- INDAPUR SECTION OF NH-66 (OLD NH-17) FROM KM 42.300 (KASU) TO KM 84.600 (,NHAI,N24001607,10/2022,5/2024,N.A.,5/2024,332,N.A.,332,185.45,42.44
MAHARASHTRA,ROAD TRANSPORT AND,1003,VADODARA MUMBAI EXPRESSWAY (PHASE II - PKG XVII) [KM. 69.800 TO KM. 79.783 OF SPUR] (BHOJ - MORBE),NHAI,N24001608,9/2021,7/2025,N.A.,7/2025,2208.68,N.A.,2208.68,357.45,44.33
MAHARASHTRA,ROAD TRANSPORT AND,1004,BALANCE WORK OF 4 LANING OF PANVEL TO INDAPUR SECTION OF NH-66(OLD NH- 17) FROM KM 0.000 (PANVEL) TO,NHAI,N24001609,1/2023,12/2023,Dec-24,12/2024,151.26,N.A.,151.26,103.31,64.64
MAHARASHTRA,ROAD TRANSPORT AND,1005,4L OF EXISTING 2/4L STRETCH FROM LONAND TO DIVE GHAT (KM 166.400 TO KM 220.900 ) OF MOHOL ? ALANDI S,NHAI,N24001610,1/2022,5/2024,Oct-24,10/2024,1833.73,N.A.,1833.73,389.12,74.65
MAHARASHTRA,ROAD TRANSPORT AND,1006,FOUR LANING OF AURANGABAD- PAITHAN SECTION OF NH-752E ON EPC MODE IN THE STATE OF MAHARASHTRA .,NHAI,N24001795,10/2022,7/2024,N.A.,8/2024,490.4,N.A.,289,229.13,70
MAHARASHTRA,ROAD TRANSPORT AND,1007,4L OF RAJURA-KORPANA- ADILABAD ROAD UPTO M.S. BORDER FROM KM 32.910 TO KM 89.090 OF NH-353B,NHAI,N24001796,3/2022,10/2024,Apr-25,4/2025,1013.33,1013.33,1111.33,335.26,56.6
MAHARASHTRA,ROAD TRANSPORT AND,1008,6L OF WAINGANGA BRIDGE - BHANDARA (INCLUDING BHANDARA BYPASS) SECTION FROM KM 485.000 TO KM 499.800,NHAI,N24001797,10/2021,1/2024,N.A.,12/2024,815.77,N.A.,815.77,606.55,90.87
MAHARASHTRA,ROAD TRANSPORT AND,1009,4L MITIGATION MEASURE STRUCTURES ON CH/MH BORDER TO WAINGANGA BRIDGE SECTION OF NH-53,NHAI,N24001798,2/2021,11/2023,N.A.,11/2024,540.21,N.A.,540.21,411.57,94.12
MAHARASHTRA,ROAD TRANSPORT AND,1010,4L OF NAGPUR-KATOL SECTION FROM KM. 13.00 TO KM. 62.900 OF NH-353J,NHAI,N24001799,2/2021,10/2023,N.A.,12/2024,1166.96,N.A.,1251,1029.62,80
MAHARASHTRA,ROAD TRANSPORT AND,1011,BAL. WORKS OF FAGNE (KM. 510.000) TO MAHARASHTRA/GUJARAT BORDER (KM. 650.794),NHAI,N24001804,12/2019,9/2022,Jun-24,6/2024,1654.07,N.A.,980,835.19,91.76
MAHARASHTRA,ROAD TRANSPORT AND,1012,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 67.140 TO KM 112.340 OF NH-166 (PKG ? II),NHAI,N24001834,5/2023,5/2025,N.A.,5/2025,839,N.A.,839,391.49,35.5
MAHARASHTRA,ROAD TRANSPORT AND,1013,4L OF RATNAGIRI - KOLHAPUR SECTION FROM KM 112.340 TO KM 145.300 OF NH-166 (PKG?III),NHAI,N24001835,5/2023,5/2025,N.A.,5/2025,986,N.A.,986,346.65,35.12
MAHARASHTRA,ROAD TRANSPORT AND,1014,REHABILITATION AND UP- GRADATION TO 4 LANE ROAD WITH PAVED SHOULDER CONFIGURATION OF SECTION FROM UND,MoRTH,N24001880,3/2022,7/2025,N.A.,7/2025,778.18,N.A.,778.18,135.78,27.35
MAHARASHTRA,ROAD TRANSPORT AND,1015,REHABLITATION AND UPGRADATION OF AMBOLI JUNCTION (DESIGN CH. 71+530) TO AJARA (DESIGN CH.100+835) SE,MoRTH,N24001881,6/2021,11/2024,N.A.,11/2024,574,N.A.,574,574,0
MAHARASHTRA,ROAD TRANSPORT AND,1016,CONSTRUCTION OF NEW FOUR LANE BYPASS TO PARBHANI CITY (PARWA TO ASOLA) KM 463/265 TO KM 481/180 (DES,MoRTH,N24001882,3/2022,10/2024,N.A.,10/2024,496.64,N.A.,496.64,0,8
MAHARASHTRA,ROAD TRANSPORT AND,1017,CONSTRUCTION OF 4 LANE FLYOVER AT NAGPUR RTO CHOWK TO NAGPUR UNIVERSITY CAMPUS FROM CH 2/250 TO 5/10,MoRTH,N24001883,3/2021,3/2024,N.A.,4/2024,478.83,N.A.,478.83,233.48,65
MAHARASHTRA,ROAD TRANSPORT AND,1018,REHABILITATION AND UPGRADATION OF SATANA TO MANGRUL (CHANDWAD) SECTION OF NH752 G DESIGN CH: KM 64.0,MoRTH,N24001884,3/2023,5/2025,N.A.,5/2025,428.8,N.A.,428.8,54.11,30.69
MAHARASHTRA,ROAD TRANSPORT AND,1019,REHABILITATION AND UP- GRADATION OF JINTUR- SHIRAD SHAHAPUR SECTION KM 258.300 TO KM 306.300 [DESIGN,MoRTH,N24001885,2/2023,12/2024,N.A.,12/2024,414.81,N.A.,414.81,0,0
MAHARASHTRA,ROAD TRANSPORT AND,1020,DEVELOPMENT/WIDENING OF TALEGAON ? CHAKAN ? SHIKRAPUR ? NHAVARA SECTION OF NH 548DG (NHAVARA TO CHOU,MoRTH,N24001886,10/2022,8/2024,N.A.,8/2024,304.68,N.A.,304.68,97.09,58.78
MAHARASHTRA,ROAD TRANSPORT AND,1021,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,N24001887,8/2022,6/2024,N.A.,6/2024,291.37,N.A.,291.37,102.94,78.44
MAHARASHTRA,ROAD TRANSPORT AND,1022,"UP-GRADATION OF TIRORA- GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH- 335, TIRORA) TO KM 191+",MoRTH,N24001888,8/2021,4/2023,N.A.,5/2024,288.14,N.A.,288.14,63.01,46.31
MAHARASHTRA,ROAD TRANSPORT AND,1023,2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,N24001889,9/2019,7/2021,N.A.,N.A.,277.81,N.A.,277.81,148.68,0
MAHARASHTRA,ROAD TRANSPORT AND,1024,REHABILITATION AND UPGRADATION OF PARLI TO SIRSALA SECTION OF NH-361F (KM 136+700 TO 115+000) (LENGT,MoRTH,N24001890,2/2023,12/2024,N.A.,12/2024,261.82,N.A.,261.82,70.59,46
MAHARASHTRA,ROAD TRANSPORT AND,1025,BALANCE WORK OF REHABILITATION AND UP- GRADATION TO NH-166F FROM MAHAD JUNCTION (AT KM 123/400 ON NH-,MoRTH,N24001891,7/2021,11/2023,N.A.,3/2024,256.54,N.A.,256.54,80.1,59.66
MAHARASHTRA,ROAD TRANSPORT AND,1026,REHABILITATION AND UPGRADATION OF SHIRAPUR JUNCTION TO SHIVAJI CHOWK (DESIGN CHAINAGE KM. 130+00 TO,MoRTH,N24001892,2/2023,12/2024,N.A.,12/2024,245.61,N.A.,245.61,43.39,32.5
MAHARASHTRA,ROAD TRANSPORT AND,1027,SHEWALI (SAKRI) - NANDURBAR,MoRTH,N24001893,9/2022,4/2024,N.A.,7/2024,232.59,N.A.,232.59,97.7,78
MAHARASHTRA,ROAD TRANSPORT AND,1028,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98-172.95 OF NH-63],MoRTH,N24001894,9/2019,7/2021,N.A.,12/2023,228.82,N.A.,228.82,144.54,95.44
MAHARASHTRA,ROAD TRANSPORT AND,1029,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,N24001895,11/2021,9/2023,N.A.,12/2023,228.01,N.A.,228.01,103.01,99
MAHARASHTRA,ROAD TRANSPORT AND,1030,UPGRADATIOBN AND REHABILITATION OF SECTION OF NH 361 F FROM PARLI (00/000) TO GANGAKHED (30/400) TO,MoRTH,N24001896,11/2021,9/2023,N.A.,4/2024,224.44,N.A.,224.44,75.34,45.63
MAHARASHTRA,ROAD TRANSPORT AND,1031,REHABILITATION AND UP- GRADATION OF SABALKHED TO ASHTI SECTION FROM KM 37+900 TO KM 55+100 AND CHINCH,MoRTH,N24001902,12/2022,9/2024,N.A.,9/2024,213.32,N.A.,213.32,20,34
MAHARASHTRA,ROAD TRANSPORT AND,1032,REHABILITATION AND UP- GRADATION OF MUDKHED TO NANDED SECTION FROM KM. 372+000 TO KM 388+400 OF NH 16,MoRTH,N24001903,8/2022,4/2025,N.A.,4/2025,206.54,N.A.,206.54,21.36,0
MAHARASHTRA,ROAD TRANSPORT AND,1033,KOPARGAON TO SAVALI VIHIR SECTION,MoRTH,N24001904,9/2022,7/2024,N.A.,7/2024,195.38,N.A.,195.38,29.59,19.76
MAHARASHTRA,ROAD TRANSPORT AND,1034,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,N24001905,10/2021,8/2023,N.A.,12/2023,188.69,N.A.,188.69,111.26,95.8
MAHARASHTRA,ROAD TRANSPORT AND,1035,UP-GRADATION TO 4 LANING OF DAULTABAD T-POINT TO MALIWADA [FROM DESIGN KM.0.000 TO KM 4.000] AND UPG,MoRTH,N24001906,8/2022,3/2024,N.A.,3/2024,185.59,N.A.,185.59,63.56,48
MAHARASHTRA,ROAD TRANSPORT AND,1036,"CONSTRUCTION OF SIX LANE FLYOVER AT KATRAJ JUNCTION AT KM, 3/880 OF NH 548-DD (VADGAON - KATRAJ - KO",MoRTH,N24001907,6/2021,2/2024,N.A.,3/2024,169.15,N.A.,169.15,36.94,35.96
MAHARASHTRA,ROAD TRANSPORT AND,1037,UPGRADATION OF EXHISTING 2 LANE FLEXIBLE PAVEMENT TO 2 LANE PAVED SHOULDERS RIGID PAVEMENT FROM DESI,MoRTH,N24001908,12/2021,5/2024,N.A.,5/2024,167.97,N.A.,167.97,35.28,36.76
MAHARASHTRA,ROAD TRANSPORT AND,1038,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160 (TEMBHURNI - KUSL",MoRTH,N24001909,11/2021,6/2024,N.A.,6/2024,157.72,N.A.,157.72,55.38,90.41
MAHARASHTRA,ROAD TRANSPORT AND,1039,REHABILITATION AND UPGRADATION OF JAMKHED TO SAUTADA SECTION OF NH548 D (FROM KM 195.375 TO KM 208.7,MoRTH,N24001910,9/2022,7/2024,N.A.,7/2024,157.62,N.A.,157.62,13.86,17.03
MAHARASHTRA,ROAD TRANSPORT AND,1040,PANGAON TO DHARMAPURI AND PARALI TO INJEGAON 2L+PS,MoRTH,N24001911,3/2018,7/2024,N.A.,12/2023,152.03,N.A.,152.03,81.35,97.57
MAHARASHTRA,ROAD TRANSPORT AND,1041,4L OF INDORA CHOWK TO PACHPAOLI AND AGRASEN CHOWK - ASHOKA CHOWK,NHAI,N24002071,3/2023,6/2026,N.A.,6/2026,998.27,N.A.,998.27,93.3,13.23
MAHARASHTRA,ROAD TRANSPORT AND,1042,IMPROVEMENT OF EXISTING ALIGNMENT OF PANDHARPUR TOWN PART BYPASSED SECTION FROM WAKHARI TO LORD VITT,NHAI,N24002072,7/2022,10/2025,N.A.,10/2025,150.21,150.21,150.21,12.74,15.86
MAHARASHTRA,ROAD TRANSPORT AND,1043,STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK-GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,NHAI,N24002137,2/2024,3/2025,N.A.,3/2025,175,N.A.,175,9.91,6
MAHARASHTRA,URBAN DEVELOPMENT,1044,MUMBAI METRO LINE 3 (COLABA- BANDRA-SEEPZ),MMRCL,N28000086,7/2013,3/2020,N.A.,12/2023,23136,N.A.,37276,23687.33,87.2
MAHARASHTRA,URBAN DEVELOPMENT,1045,PUNE METRO RAIL PROJECT (PHASE 1),MMRC,N28000121,12/2016,11/2021,Aug-24,8/2024,11420,13656.22,13656.22,12330,99.8
MAHARASHTRA,URBAN DEVELOPMENT,1046,NAGPUR METRO RAIL PROJECT PHASE II,NMRCL,N28000155,12/2022,12/2027,N.A.,12/2027,6708,N.A.,6708,197.54,10.1
MAHARASHTRA,URBAN DEVELOPMENT,1047,PCMC NIGDI PROJECT EXTENSION OF CORRIDOR 1 OF PUNE METRO PHASE 1,MMRC,N28000157,10/2023,1/2027,N.A.,1/2027,910.18,N.A.,910.18,0,1.5
MAHARASHTRA,WATER RESOURCES,1048,PROTECTION OF MAJULI ISLAND FROM FLOOD AND EROSION OF RIVER BRAHMAPUTRA,BPB,N30000001,3/2017,12/2019,Aug-24,12/2023,233.57,N.A.,233.57,217.42,
MANIPUR,CIVIL AVIATION,1049,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, CONTROL TOWER CUM TECHNICAL BLOCK, APRON, LINK TAX",AAI,N04000100,11/2021,7/2024,Dec-25,12/2025,499,N.A.,499,96.21,31.64
MANIPUR,RAILWAYS,1050,JIRIBAM TO IMPHAL (TUPUI)(NL)(NEFR),NFR,220100288,4/2003,3/2011,Dec-26,12/2026,4454.17,12274.06,19517.7,14636.68,79.5
MANIPUR,ROAD TRANSPORT AND,1051,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2A),NHIDCL,N24001270,3/2020,6/2022,Dec-23,12/2024,292.24,N.A.,292.24,127.86,85.33
MANIPUR,ROAD TRANSPORT AND,1052,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 2B),NHIDCL,N24001271,6/2020,8/2022,N.A.,12/2024,365.53,N.A.,365.53,156.31,77.36
MANIPUR,ROAD TRANSPORT AND,1053,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4A),NHIDCL,N24001272,3/2020,6/2022,N.A.,12/2024,167.95,204.12,167.95,88.05,69.89
MANIPUR,ROAD TRANSPORT AND,1054,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (PKG- 4B),NHIDCL,N24001273,7/2020,8/2022,N.A.,12/2024,177.76,N.A.,177.76,89.67,80.53
MANIPUR,ROAD TRANSPORT AND,1055,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM TAPHOU KUKI TO DAILI SECTI,NHIDCL,N24001274,8/2020,4/2022,N.A.,8/2025,379.39,N.A.,379.39,189.78,45.88
MANIPUR,ROAD TRANSPORT AND,1056,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM DAILI TO KURAOPOKPI SECTIO,NHIDCL,N24001275,8/2020,4/2022,N.A.,12/2025,268.98,N.A.,268.98,22.08,0
MANIPUR,ROAD TRANSPORT AND,1057,IMPROVEMENT/UPGRADATION OF EXISTING 2-LANE TO 4-LANE DIVIDED HIGHWAY FROM KURAOPOKPI TO SEKMAI SECTI,NHIDCL,N24001276,8/2020,4/2022,N.A.,12/2025,228.97,N.A.,228.97,0,0
MANIPUR,ROAD TRANSPORT AND,1058,MARIAM - PEREN PKG-1A,NHIDCL,N24001349,2/2021,12/2022,N.A.,2/2025,226.32,N.A.,226.32,82.91,61.41
MANIPUR,ROAD TRANSPORT AND,1059,MARIAM - PEREN (PKG 1B),NHIDCL,N24001350,2/2021,12/2022,N.A.,9/2024,188.36,N.A.,188.36,120.27,94.92
MANIPUR,ROAD TRANSPORT AND,1060,MARIAM - PEREN PKG-2B,NHIDCL,N24001351,2/2021,12/2022,N.A.,3/2024,232.26,N.A.,232.26,156.93,100
MANIPUR,ROAD TRANSPORT AND,1061,IMPHAL ? MOREH PACKAGE- 3,NHIDCL,N24001352,3/2021,12/2022,N.A.,8/2024,259.31,N.A.,259.31,144.94,100
