State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Progress (%)
ANDHRA PRADESH,PETROLEUM,18,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,N16000432,9/2021,6/2024,Mar-26,3/2026,160.00,220.00,220.00,13.57,42
ANDHRA PRADESH,PETROLEUM,19,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,N16000485,3/2022,3/2030,N.A.,3/2030,"1,420.00",N.A.,"1,420.00",118.06,4.9
ANDHRA PRADESH,PETROLEUM,20,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,N16000499,9/2019,3/2025,N.A.,10/2025,"1,932.00",N.A.,"1,932.00","1,491.60",70.4
ANDHRA PRADESH,PETROLEUM,21,HP TRIJET UNIT IN VR,HPCL,N16000535,7/2024,7/2027,N.A.,7/2027,193.00,N.A.,193.00,0.04,9
ANDHRA PRADESH,POWER,22,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,N18000380,9/2023,3/2025,N.A.,9/2025,"1,249.00",N.A.,"1,249.00",144.81,39
ANDHRA PRADESH,POWER,23,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,N18000395,5/2023,9/2025,N.A.,9/2025,164.00,N.A.,164.00,0.00,2
ANDHRA PRADESH,RAILWAYS,24,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,220100265,12/2001,3/2009,N.A.,3/2027,"1,045.20",N.A.,"2,500.98","1,150.74",0
ANDHRA PRADESH,RAILWAYS,25,NADIKUDE-SRI KALAHASTI,SCR,N22000286,4/2011,3/2021,N.A.,5/2027,"2,288.70",N.A.,"3,122.35","1,744.48",0
ANDHRA PRADESH,RAILWAYS,26,GUNTUR-GUNTAKAL,SCR,N22000368,4/2016,3/2022,N.A.,12/2025,"3,631.00",N.A.,"3,887.48","3,239.62",0
ANDHRA PRADESH,RAILWAYS,27,VIJAYAWADA-GUDUR,RVNL,N22000369,4/2015,12/2023,N.A.,12/2024,"3,246.26",N.A.,"6,238.67","5,883.89",0
ANDHRA PRADESH,RAILWAYS,28,KOTTAVALSA - KORAPUT DOUBLING,ECOR,N22000377,4/2015,3/2022,N.A.,3/2022,"2,499.71",N.A.,"2,499.71","1,774.89",68.5
ANDHRA PRADESH,RAILWAYS,29,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",SWR,N22000555,4/2019,3/2026,N.A.,2/2025,294.67,307.66,307.66,149.73,41
ANDHRA PRADESH,RAILWAYS,30,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),SWR,N22000556,9/2022,12/2025,N.A.,12/2026,323.14,342.41,342.41,39.46,12
ANDHRA PRADESH,RAILWAYS,31,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),SCR,N22000585,3/2023,3/2027,N.A.,3/2027,351.83,N.A.,351.83,0.00,0
ANDHRA PRADESH,RAILWAYS,32,VIJAYAWADA KAZIPET BYEPASS LINE,SCR,N22000586,4/2016,12/2025,N.A.,12/2025,226.72,N.A.,226.72,181.45,0
ANDHRA PRADESH,RAILWAYS,33,RENIGUNTA WADI GOOTY - BYPASS,SCR,N22000587,4/2016,12/2025,N.A.,12/2025,302.00,N.A.,302.00,167.58,50
ANDHRA PRADESH,ROAD TRANSPORT AND,34,COMPLETION OF BALANCE WORKS PENDING IN BIT AND PIECES (INCOMPLETE STRETCH AT 7 LOCATIONS) AND LISTED,NHAI,N24002103,9/2022,1/2025,N.A.,1/2025,166.52,N.A.,166.52,43.74,0
ANDHRA PRADESH,ROAD TRANSPORT AND,35,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22,NHAI,N24002122,2/2024,2/2026,N.A.,2/2026,813.66,N.A.,813.66,13.54,7.56
ANDHRA PRADESH,ROAD TRANSPORT AND,36,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260,NHAI,N24002123,2/2024,2/2026,N.A.,2/2026,"1,292.65",N.A.,"1,292.65",52.49,5.4
ANDHRA PRADESH,ROAD TRANSPORT AND,37,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [,NHAI,N24002124,2/2024,2/2026,N.A.,2/2026,747.29,N.A.,747.29,54.71,5.8
ANDHRA PRADESH,ROAD TRANSPORT AND,38,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600),NHAI,N24002125,2/2024,2/2026,N.A.,2/2026,976.40,N.A.,976.40,128.34,21.82
ANDHRA PRADESH,ROAD TRANSPORT AND,39,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O,NHAI,N24002126,2/2024,2/2026,N.A.,2/2026,"1,103.89",N.A.,"1,103.89",54.54,0.11
ANDHRA PRADESH,ROAD TRANSPORT AND,40,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA,MoRTH,N24002139,3/2023,12/2025,N.A.,11/2025,"1,318.57",N.A.,"1,318.57",284.28,41.37
ANDHRA PRADESH,ROAD TRANSPORT AND,41,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33],MoRTH,N24002140,4/2023,12/2025,N.A.,12/2025,629.73,N.A.,629.73,205.10,42
ANDHRA PRADESH,ROAD TRANSPORT AND,42,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM,MoRTH,N24002141,6/2023,7/2025,N.A.,7/2025,364.07,N.A.,364.07,170.37,80
ANDHRA PRADESH,ROAD TRANSPORT AND,43,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974),MoRTH,N24002142,8/2023,11/2025,N.A.,11/2025,361.24,N.A.,361.24,24.93,9
ANDHRA PRADESH,ROAD TRANSPORT AND,44,BYPASS ROAD TO ADONI TOWN CONNECTING NH-167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU,MoRTH,N24002143,8/2023,2/2026,N.A.,2/2026,361.24,N.A.,361.24,44.08,30
ANDHRA PRADESH,ROAD TRANSPORT AND,45,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH-167A (PACKAGE-I),MoRTH,N24002144,8/2023,2/2026,N.A.,2/2026,"1,064.24",N.A.,"1,064.24",255.03,21
ANDHRA PRADESH,ROAD TRANSPORT AND,46,TADIPATRI BYPASS (KM 0+000 TO KM 6+285) OF 4-LANE ON NH- 67 IN ANANTAPURAMU,MoRTH,N24002145,11/2023,3/2026,N.A.,3/2026,159.66,N.A.,159.66,60.76,63.5
ANDHRA PRADESH,ROAD TRANSPORT AND,47,KURNOOL/KADAPA BORDER- JAMMALAMADUGU SECTION OF NH-167K I.E. DESIGN CH. KM 248+010 TO KM 269+900,MoRTH,N24002146,11/2023,11/2025,N.A.,11/2025,292.63,N.A.,292.63,9.00,0
ANDHRA PRADESH,ROAD TRANSPORT AND,48,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE-2),MoRTH,N24002147,12/2022,1/2024,N.A.,3/2026,244.83,N.A.,244.83,50.33,36.35
ANDHRA PRADESH,ROAD TRANSPORT AND,49,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E,MoRTH,N24002148,3/2023,3/2024,N.A.,2/2026,244.43,N.A.,244.43,22.77,0
ANDHRA PRADESH,ROAD TRANSPORT AND,50,DAVUALAPALLY TO MALLAPALEM SECTION {DESIGN CH. KM 133+922 TO KM 154+216 (EXISTING CH. KM 133+922 TO,MoRTH,N24002149,1/2024,2/2024,N.A.,2/2026,393.61,N.A.,393.61,41.66,0
ANDHRA PRADESH,ROAD TRANSPORT AND,51,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA PRADES,MoRTH,N24000301,3/2015,10/2015,May-21,5/2021,271.45,N.A.,271.45,238.23,100
ANDHRA PRADESH,ROAD TRANSPORT AND,52,CONSTRUCTION OF SIX LANING OF DEDICATED PORT ROAD TO KRISHNAPATNAM PORT (PACKAGE-I) KM 0+000 TO KM 1,NHAI,N24000811,3/2018,12/2020,Dec-22,12/2024,314.43,N.A.,348.72,85.61,65.23
ANDHRA PRADESH,ROAD TRANSPORT AND,53,REHABILITATION AND UPGRADATION OF EXISTING NH- 167 FROM KM 14.900 TO KM 70.00 (DESIGN CH.14.900 TO 69,MoRTH,N24000931,11/2016,5/2017,N.A.,11/2024,290.15,N.A.,236.16,205.02,98
ANDHRA PRADESH,ROAD TRANSPORT AND,54,REHABILITATION AND UPGRADATION OF NEW NH- 544DD FROM DESIGN CHAINAGE KM 56.00 TO 102.20 OF KALYANDURG,MoRTH,N24000937,3/2018,8/2018,N.A.,11/2024,289.67,290.00,285.29,254.19,99
ANDHRA PRADESH,ROAD TRANSPORT AND,55,CONSTRUCTION OF TIMMAPURAM TO GURJANAPALLE SECTION FROM KM 26.150 TO 41.161 OF NH- 214(NH216)(KAKINAD,MoRTH,N24000964,8/2016,1/2017,N.A.,5/2025,350.61,N.A.,411.18,457.55,98
ANDHRA PRADESH,ROAD TRANSPORT AND,56,CONSTRUCTION OF 2L+PS FROM PASARLAPUDI-DHINDI (105/700 TO 127.500 OF NH-214) OF NH-216,MoRTH,N24000969,1/2017,9/2017,N.A.,3/2025,263.45,N.A.,263.45,246.85,85
ANDHRA PRADESH,ROAD TRANSPORT AND,57,6-LANING OF VIJAYAWADA BYPASS FROM GOLLAPUDI (DESIGN CH. 30+000) TO CHINNAKAKANI (DESIGN CH. 47+881),NHAI,N24001301,11/2019,1/2024,N.A.,7/2024,"1,601.10",N.A.,"1,601.10","1,220.19",77.76
ANDHRA PRADESH,ROAD TRANSPORT AND,58,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED SHOULDERS CONFIGURATION OF PADERU- GONDIGUDA SECT,MoRTH,N24001386,8/2020,3/2021,N.A.,10/2024,222.61,N.A.,222.61,145.53,87.32
ANDHRA PRADESH,ROAD TRANSPORT AND,59,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI,NHAI,N24001476,9/2021,9/2022,Sep-24,3/2025,517.05,N.A.,655.06,525.46,65.31
ANDHRA PRADESH,ROAD TRANSPORT AND,60,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM- DEVARAP,NHAI,N24001477,9/2021,9/2022,Sep-24,5/2025,622.00,N.A.,817.91,511.81,55.41
ANDHRA PRADESH,ROAD TRANSPORT AND,61,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16,NHAI,N24001817,2/2019,3/2023,Oct-24,10/2024,757.45,N.A.,757.45,526.41,91.52
ANDHRA PRADESH,ROAD TRANSPORT AND,62,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG- IV),NHAI,N24001818,2/2021,1/2025,N.A.,1/2025,818.73,N.A.,"1,105.00",347.24,20.5
ANDHRA PRADESH,ROAD TRANSPORT AND,63,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III),NHAI,N24001819,3/2021,1/2025,N.A.,1/2025,"1,102.63",N.A.,"1,303.00",842.26,80.87
ANDHRA PRADESH,ROAD TRANSPORT AND,64,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I),NHAI,N24001820,2/2021,12/2024,N.A.,12/2024,"1,484.83",N.A.,"1,768.00","1,041.05",69.09
ANDHRA PRADESH,ROAD TRANSPORT AND,65,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-III) FROM KM.127.000 TO KM 156.000 (BANGARUPALEM TO GUDIP,NHAI,N24001821,11/2020,10/2024,N.A.,10/2024,"1,137.74",N.A.,"1,289.00",966.72,90.08
ANDHRA PRADESH,ROAD TRANSPORT AND,66,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-I) FROM KM.71.000 TO KM 96.000 (BETHAMANGALA IN THE STATE,NHAI,N24001822,12/2020,10/2024,N.A.,10/2024,"1,075.27",N.A.,"1,307.00",840.36,69.45
ANDHRA PRADESH,ROAD TRANSPORT AND,67,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH-71(PACKAGE-I) - N/05060/01002/A,NHAI,N24001823,1/2022,1/2025,Jan-23,1/2025,"1,852.12",N.A.,"1,787.00",605.70,71
ANDHRA PRADESH,ROAD TRANSPORT AND,68,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP,NHAI,N24001824,3/2020,1/2024,Dec-24,12/2024,"1,863.09",N.A.,"2,238.00","1,227.61",94.11
ANDHRA PRADESH,ROAD TRANSPORT AND,69,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH- 130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4),NHAI,N24001836,2/2021,10/2024,N.A.,10/2024,824.29,N.A.,924.00,391.84,61.7
ANDHRA PRADESH,ROAD TRANSPORT AND,70,6L JAKKUVA ? KORLAM SECTION OF NH-130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2),NHAI,N24001837,2/2021,3/2024,Jul-24,12/2024,663.60,N.A.,768.00,342.30,93.48
ANDHRA PRADESH,ROAD TRANSPORT AND,71,6L ALURU - JAKKUVA SECTION OF NH-130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1),NHAI,N24001838,2/2021,3/2024,N.A.,4/2025,922.50,N.A.,"1,128.68",413.52,71.5
ANDHRA PRADESH,ROAD TRANSPORT AND,72,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA,NHAI,N24001841,12/2022,9/2025,N.A.,2/2026,912.94,N.A.,912.94,178.83,33.34
ANDHRA PRADESH,ROAD TRANSPORT AND,73,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5,NHAI,N24001842,12/2022,11/2025,N.A.,11/2025,750.81,N.A.,750.81,99.64,24.5
ANDHRA PRADESH,ROAD TRANSPORT AND,74,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH,NHAI,N24001843,12/2022,11/2025,N.A.,11/2025,992.89,N.A.,992.89,128.64,11.5
ANDHRA PRADESH,ROAD TRANSPORT AND,75,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM.,NHAI,N24001844,12/2022,10/2025,N.A.,10/2025,"1,058.90",N.A.,"1,058.90",170.50,10.77
ANDHRA PRADESH,ROAD TRANSPORT AND,76,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000,NHAI,N24001845,2/2023,10/2025,N.A.,10/2025,"1,253.24",N.A.,"1,253.24",72.12,3.5
ANDHRA PRADESH,ROAD TRANSPORT AND,77,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM.,NHAI,N24001846,2/2023,10/2025,N.A.,10/2025,"1,200.42",N.A.,"1,200.42",57.70,1.5
ANDHRA PRADESH,ROAD TRANSPORT AND,78,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA,NHAI,N24001847,1/2023,11/2025,N.A.,11/2025,956.14,N.A.,956.14,134.12,14.72
ANDHRA PRADESH,ROAD TRANSPORT AND,79,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK,NHAI,N24001848,2/2023,10/2025,N.A.,10/2025,909.02,N.A.,909.02,60.55,6.65
ANDHRA PRADESH,ROAD TRANSPORT AND,80,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH 67,NHAI,N24001849,5/2022,7/2025,N.A.,9/2025,"1,063.72",N.A.,"1,063.72",346.61,49.4
ANDHRA PRADESH,ROAD TRANSPORT AND,81,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250,NHAI,N24001856,5/2023,8/2025,N.A.,8/2025,648.75,N.A.,648.75,130.73,33.45
ANDHRA PRADESH,ROAD TRANSPORT AND,82,4 LANING OF BATHALAPALLI TO MUDIGUBBA SECTION (DESIGN CHAINAGE KM. 96.300 TO 129.300) INCLUDING BATH,MoRTH,N24001931,3/2022,2/2025,N.A.,2/2025,536.00,N.A.,536.00,393.81,98
ANDHRA PRADESH,ROAD TRANSPORT AND,83,2L+PS FROM KM. 0+000 TO KM. 32+000 (MUDIGUBBA TO PUTTAPARTHI) OF NH-342,MoRTH,N24001932,3/2022,9/2024,N.A.,3/2025,401.72,N.A.,401.72,173.24,71.1
ANDHRA PRADESH,ROAD TRANSPORT AND,84,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE,MoRTH,N24001933,12/2021,12/2024,N.A.,12/2024,480.10,N.A.,480.10,443.87,96.74
ANDHRA PRADESH,ROAD TRANSPORT AND,85,NH440 RAYACHOTY TOVEMPALLI 2LPS,MoRTH,N24001934,12/2021,5/2024,N.A.,7/2025,439.82,N.A.,439.82,193.63,27
ANDHRA PRADESH,ROAD TRANSPORT AND,86,4 LANE WITH PAVED SHOULDER FROM KM 0.000 TO KM 51.119 OF TADIPATRI TO MUDDANUR OF NH67,MoRTH,N24001935,3/2022,8/2025,N.A.,8/2025,724.17,N.A.,724.17,361.46,81.09
ANDHRA PRADESH,ROAD TRANSPORT AND,87,NH165 FROM KM 0.000 TO KM 64.020 PAMARRU TO AKIVEEDU SECTION TO TWO LANE WITH PAVED SHOULDERS,MoRTH,N24001939,3/2020,9/2023,N.A.,12/2025,529.24,N.A.,529.24,312.17,52
ANDHRA PRADESH,ROAD TRANSPORT AND,88,2LPS FROM KM36.400 TO KM. 107.224 OF NH167BG FROM DUTTALUR TO KAVALI SECTION,MoRTH,N24001942,3/2021,7/2024,N.A.,3/2025,423.67,N.A.,423.67,228.15,70
ANDHRA PRADESH,ROAD TRANSPORT AND,89,NH167B FROM KM 99.103 CS PURAM TO KM 143.320 MALAKONDA TO 2LPS,MoRTH,N24001949,12/2021,3/2024,N.A.,1/2025,277.30,N.A.,277.30,183.18,98
ANDHRA PRADESH,ROAD TRANSPORT AND,90,NH167B FROM KM.143.320 MALAKONDA TO 189.050 SINGARAYAKONDA ON NH 16 TO TWO LANE WITH PAVED SHOULDERS,MoRTH,N24001950,3/2021,2/2025,N.A.,2/2025,369.81,N.A.,369.81,267.07,86.55
ANDHRA PRADESH,ROAD TRANSPORT AND,91,NH167AD FROM MACHERLA TO DACHEPALLI FROM KM.0.000 TO 43.659 TO 2LPS,MoRTH,N24001951,1/2022,1/2025,N.A.,1/2025,403.22,N.A.,403.22,262.08,88
ANDHRA PRADESH,ROAD TRANSPORT AND,92,NH 167 B KADAPA NELLORE BORDER TO CSPURAM I.E. FROM KM 58.635 TO KM 99.409,MoRTH,N24001952,3/2022,8/2025,N.A.,8/2025,285.50,N.A.,285.50,130.73,71.43
ANDHRA PRADESH,ROAD TRANSPORT AND,93,NH-30-BHADRACHALAM TO KONTA SECTION 2LPS,MoRTH,N24001953,12/2021,9/2024,N.A.,3/2025,388.71,N.A.,388.71,190.43,72
ANDHRA PRADESH,ROAD TRANSPORT AND,94,WIDENING TO 2LPS OF RAMPACHODAVARAM - KOYYURU SECTION OF NH516E FROM KM.43.700 TO KM 113.820,MoRTH,N24001954,3/2022,1/2025,N.A.,1/2025,568.12,N.A.,568.12,310.43,84.4
ANDHRA PRADESH,ROAD TRANSPORT AND,95,GUDIWADA TOWN 2 LANE ROB AND ROAD IMPROVEMENT OF NH165 IN REPLACEMENT OF LC NO 3ESPL3 AT KM 231.700,MoRTH,N24001955,3/2022,5/2025,N.A.,5/2025,317.22,N.A.,317.22,181.63,52
ANDHRA PRADESH,ROAD TRANSPORT AND,96,2LPS FROM GONDIGUDA TO ARAKU BHALLAGUDA KM 27.480 TO KM 51.772 SECTION OF NH 516E,MoRTH,N24001956,8/2020,9/2023,N.A.,12/2024,296.66,N.A.,296.66,216.41,79
ANDHRA PRADESH,ROAD TRANSPORT AND,97,2LPS OF KOYYURU TO CHAPRATHIPALEM SECTION OF NH 516E,MoRTH,N24001957,8/2020,7/2024,N.A.,3/2025,349.29,N.A.,349.29,152.74,57.61
ANDHRA PRADESH,ROAD TRANSPORT AND,98,2LPS OF CHAPRATHIPALEM TO LAMBASINGI SECTION OF NH 516E,MoRTH,N24001958,8/2020,10/2024,N.A.,3/2025,311.22,N.A.,311.22,108.54,51.75
ANDHRA PRADESH,ROAD TRANSPORT AND,99,4 LANE FROM KM 56.400 TO KM 120.300 FROM B.KOTHAPALLI JUNCTION TO GORANTLA OF NH 716G,MoRTH,N24001959,3/2022,9/2025,N.A.,9/2025,839.98,N.A.,839.98,286.82,51.8
ANDHRA PRADESH,ROAD TRANSPORT AND,100,4L GREENFIELD ROAD CONNECTING NORTH AND SOUTH INDUSTRIAL CLUSTER OF KHANDALERU CREEK NEAR KRISHNAPAT,NHAI,N24001979,8/2022,9/2025,N.A.,9/2025,609.43,N.A.,609.43,25.24,30.5
