81,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-II) FROM KM.96.000 TO KM 127.000 (BAIREDDYPALLE TO BANGAR (NHAI) (N24001985),3/2021,6/2025,N.A.,{6/2025},"1,942.94 | (2,171.00) | {2,171.00}",940.28,,,36.22,,
82,4L OF PILERU TO KALUR SECTION FROM KM 55.900 TO KM 92.800 AND KM 94.500 TO KM 95.717 (NHAI) (N24001986),10/2023,4/2025,N.A.,{4/2025},"1,047.32 | (N.A.) | {1,047.32}",240.43,,,51.7,,
83,"CONSTRUCTION OF 1 NOS ROB, 2 NOS VUPS, SERVICE ROADS, PROVISION OF LIGHTING AND CONSTRUCTION OF OTHE (NHAI) (N24001987)",6/2023,12/2024,N.A.,{12/2024},152.05 | (N.A.) | {152.05},83.28,,,49.63,,
84,6L OF CHITTOOR TO THATCHUR FROM KUMARAJAPET TO VEERA KAVERI RAJA PURAM FROM KM 43.800 TO KM 61.380 O (NHAI) (N24001988),2/2021,10/2025,N.A.,{10/2025},591.99 | (703.00) | {703.00},210.49,,,34.33,,
85,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED HIGHWAY FROM CHILLAKURU CROSS ROAD TO TURPUKANUPUR KM 0+000 (NHAI) (N24002033),7/2022,12/2025,N.A.,{12/2025},909.47 | (N.A.) | {909.47},97.03,,,11.2,,
86,COMPLETION OF BALANCE WORKS PENDING IN BIT AND PIECES (INCOMPLETE STRETCH AT 7 LOCATIONS) AND LISTED (NHAI) (N24002103),9/2022,1/2025,N.A.,{1/2025},166.52 | (N.A.) | {166.52},43.74,,,,,
87,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NARAYANMPET (CH. 203+500) TO CHANDRASEKHARPURAM (CH. 22 (NHAI) (N24002122),2/2024,2/2026,N.A.,{2/2026},813.66 | (N.A.) | {813.66},11.72,,,6,,
88,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM CHANDRASEKHARAPURAM (CH. 228+000) TO POLAVARAM (CH. 260 (NHAI) (N24002123),2/2024,2/2026,N.A.,{2/2026},"1,292.65 | (N.A.) | {1,292.65}",27.33,,,0.95,,
89,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM POLAVARAM (CH. 260+000) TO MARRIPUDI (CH. 285+500) OF [ (NHAI) (N24002124),2/2024,2/2026,N.A.,{2/2026},747.29 | (N.A.) | {747.29},42.83,,,1.66,,
90,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MARRIPUDI (CH. 285+500) TO SOMAVARAPPADU (CH. 314+600) (NHAI) (N24002125),2/2024,2/2026,N.A.,{2/2026},976.40 | (N.A.) | {976.40},55.64,,,10.2,,
91,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM SOMAVARAPPADU (CH.314.600) TO MUPPAVARAM (CH.343+240) O (NHAI) (N24002126),2/2024,2/2026,N.A.,{2/2026},"1,103.89 | (N.A.) | {1,103.89}",54.54,,,,,
92,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA (MoRTH) (N24002139),3/2023,12/2025,N.A.,{11/2025},"1,318.57 | (N.A.) | {1,318.57}",253.37,,,29.95,,
93,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33] (MoRTH) (N24002140),4/2023,12/2025,N.A.,{12/2025},629.73 | (N.A.) | {629.73},185.00,,,37.85,,
94,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM (MoRTH) (N24002141),6/2023,7/2025,N.A.,{7/2025},364.07 | (N.A.) | {364.07},87.55,,,52,,
95,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974) (MoRTH) (N24002142),8/2023,11/2025,N.A.,{11/2025},361.24 | (N.A.) | {361.24},11.35,,,8.26,,
96,BYPASS ROAD TO ADONI TOWN CONNECTING NH-167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU (MoRTH) (N24002143),8/2023,2/2026,N.A.,{2/2026},361.24 | (N.A.) | {361.24},29.08,,,19.84,,
97,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH-167A (PACKAGE-I) (MoRTH) (N24002144),8/2023,2/2026,N.A.,{2/2026},"1,064.24 | (N.A.) | {1,064.24}",183.47,,,13.37,,
98,TADIPATRI BYPASS (KM 0+000 TO KM 6+285) OF 4-LANE ON NH-67 IN ANANTAPURAMU (MoRTH) (N24002145),11/2023,3/2026,N.A.,{3/2026},159.66 | (N.A.) | {159.66},32.76,,,27,,
99,KURNOOL/KADAPA BORDER- JAMMALAMADUGU SECTION OF NH- 167K I.E. DESIGN CH. KM 248+010 TO KM 269+900 (MoRTH) (N24002146),11/2023,11/2025,N.A.,{11/2025},292.63 | (N.A.) | {292.63},0.00,,,0,,
100,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH-765 (PACKAGE- 2) (MoRTH) (N24002147),12/2022,1/2024,N.A.,{3/2026},244.83 | (N.A.) | {244.83},34.83,,,14.35,,
101,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E (MoRTH) (N24002148),3/2023,3/2024,N.A.,{2/2026},244.43 | (N.A.) | {244.43},0.00,,,0,,
102,DAVUALAPALLY TO MALLAPALEM SECTION {DESIGN CH. KM 133+922 TO KM 154+216 (EXISTING CH. KM 133+922 TO (MoRTH) (N24002149),1/2024,2/2024,N.A.,{2/2026},393.61 | (N.A.) | {393.61},41.66,,,0,,
103,REHABILITATION AND UPGRADATION OF EXISTING NH-565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T (MoRTH) (N24000282),1/2014,11/2014,N.A.,{5/2024},195.45 | (N.A.) | {385.97},294.95,,,97,,
104,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140- 750 IN THE STATE OF ANDHRA PRADES (MoRTH) (N24000301),3/2015,10/2015,May-21,{5/2021},271.45 | (N.A.) | {271.45},238.23,,,100,,
105,REHABILITATION AND UPGRADATION OF NH-42 FROM KM 4-350 TO KM 75-600 (MoRTH) (N24000422),3/2015,9/2015,Aug-17,{5/2018},309.01 | (N.A.) | {309.01},0.00,,,100,,
106,CONSTRUCTION OF SIX LANING OF DEDICATED PORT ROAD TO KRISHNAPATNAM PORT (PACKAGE-I) KM 0+000 TO KM 1 (NHAI) (N24000811),3/2018,12/2020,Dec-22,{12/2024},314.43 | (N.A.) | {348.72},85.61,,,63.36,,
107,FOUR LANING OF 5.122 KM OF NH9(NEW NH 65) FROM KM 269.900(DESIGN CH0.0) TO KM 275/622(DESIGN CH 5.12 (MoRTH) (N24000928),10/2015,12/2015,Dec-19,{1/2021},333.21 | (N.A.) | {353.43},342.71,,,100,,
108,REHABILITATION AND UPGRADATION OF NH219(NEW NH42) FROM KM 244.930 TO 299.775 (MADANAPALLI PUNGANURU (MoRTH) (N24000929),9/2016,2/2017,Jan-22,{2/2022},372.68 | (N.A.) | {309.37},274.76,,,100,,
109,REHABILITATION AND UPGRADATION OF EXISTING NH-167 FROM KM 14.900 TO KM 70.00 (DESIGN CH.14.900 TO 69 (MoRTH) (N24000931),11/2016,5/2017,N.A.,{11/2024},290.15 | (N.A.) | {236.16},205.02,,,90,,
